ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost,PackSizeMLorG
P0098,PrimeChoice Dishwash Liquid 750ml v2,Household,Laundry,PrimeChoice,4.68,3.67,1485
P0099,MaxValue Dishwash Liquid 750ml v3,Household,Laundry,MaxValue,3.58,2.39,1484
P0100,PrimeChoice Dishwash Liquid 750ml v4,Household,Laundry,PrimeChoice,5.43,3.24,691
P0101,QuickBite Dishwash Liquid 750ml v5,Household,Laundry,QuickBite,1.79,1.25,1073
P0102,FreshCo Dishwash Liquid 750ml v6,Household,Cleaning,FreshCo,3.56,2.06,1255
P0103,UrbanHome Floor Cleaner 1L v1,Household,Cleaning,UrbanHome,7.75,5.2,403
P0104,MaxValue Floor Cleaner 1L v2,Household,Cleaning,MaxValue,1.11,0.85,1305
P0105,QuickBite Floor Cleaner 1L v3,Household,Paper,QuickBite,3.96,2.73,1344
P0106,DailyLife Floor Cleaner 1L v4,Household,Paper,DailyLife,3.5,2.76,1647
P0107,UrbanHome Floor Cleaner 1L v5,Household,Laundry,UrbanHome,1.29,0.95,1974
P0108,DailyLife Floor Cleaner 1L v6,Household,Laundry,DailyLife,5.25,3.31,1240
P0109,DailyLife Tissue Box v1,Household,Laundry,DailyLife,3.82,2.42,859
P0110,GoodMart Tissue Box v2,Household,Laundry,GoodMart,5.68,4.44,1748
P0111,QuickBite Tissue Box v3,Household,Cleaning,QuickBite,4.81,3.85,666
P0112,GoodMart Tissue Box v4,Household,Paper,GoodMart,6.77,3.94,1213
P0113,UrbanHome Tissue Box v5,Household,Cleaning,UrbanHome,4.02,2.77,1912
P0114,MaxValue Tissue Box v6,Household,Cleaning,MaxValue,7.25,4.12,635
P0115,DailyLife Garbage Bags 30pc v1,Household,Laundry,DailyLife,3.78,2.96,841
P0116,MaxValue Garbage Bags 30pc v2,Household,Paper,MaxValue,1.11,0.65,1439
P0117,FreshCo Garbage Bags 30pc v3,Household,Laundry,FreshCo,4.48,2.77,280
P0118,QuickBite Garbage Bags 30pc v4,Household,Laundry,QuickBite,1.87,1.16,552
P0119,GoodMart Garbage Bags 30pc v5,Household,Cleaning,GoodMart,6.03,4.32,1005
P0120,MaxValue Garbage Bags 30pc v6,Household,Laundry,MaxValue,1.72,1.23,1345
P0121,PrimeChoice Bread 400g v1,Bakery,Bread,PrimeChoice,7.83,4.53,1042
P0122,GoodMart Bread 400g v2,Bakery,Bread,GoodMart,3.68,2.67,359
P0123,DailyLife Bread 400g v3,Bakery,Cakes,DailyLife,7.57,4.3,862
P0124,FreshCo Bread 400g v4,Bakery,Cakes,FreshCo,7.17,4.18,1581
P0125,QuickBite Bread 400g v5,Bakery,Cookies,QuickBite,6.01,4.56,584
P0126,FreshCo Bread 400g v6,Bakery,Bread,FreshCo,3.27,1.83,450
P0127,FreshCo Brown Bread 400g v1,Bakery,Bread,FreshCo,2.36,1.48,1994
P0128,MaxValue Brown Bread 400g v2,Bakery,Cookies,MaxValue,1.84,1.21,1470
P0129,UrbanHome Brown Bread 400g v3,Bakery,Bread,UrbanHome,4.05,3.03,1881
P0130,MaxValue Brown Bread 400g v4,Bakery,Cookies,MaxValue,4.61,3.5,1369
P0131,QuickBite Brown Bread 400g v5,Bakery,Cookies,QuickBite,3.23,2.45,1382
P0132,DailyLife Brown Bread 400g v6,Bakery,Cakes,DailyLife,4.38,2.69,841
P0133,UrbanHome Cake 500g v1,Bakery,Bread,UrbanHome,7.37,4.05,833
P0134,PrimeChoice Cake 500g v2,Bakery,Cookies,PrimeChoice,5.14,3.5,1704
P0135,FreshCo Cake 500g v3,Bakery,Cookies,FreshCo,5.42,3.08,1160
P0136,QuickBite Cake 500g v4,Bakery,Cakes,QuickBite,5.45,3.31,338
P0137,GoodMart Cake 500g v5,Bakery,Cookies,GoodMart,2.09,1.49,1025
P0138,GoodMart Cake 500g v6,Bakery,Cakes,GoodMart,1.34,0.98,421
P0139,MaxValue Muffins 6pc v1,Bakery,Cookies,MaxValue,2.82,1.83,1152
P0140,FreshCo Muffins 6pc v2,Bakery,Cakes,FreshCo,1.74,1.39,1814
P0141,DailyLife Muffins 6pc v3,Bakery,Cookies,DailyLife,2.78,1.77,504
P0142,PrimeChoice Muffins 6pc v4,Bakery,Bread,PrimeChoice,2.14,1.47,1478
P0143,PrimeChoice Muffins 6pc v5,Bakery,Bread,PrimeChoice,1,0.8,1516
P0144,UrbanHome Muffins 6pc v6,Bakery,Cookies,UrbanHome,2.1,1.34,1204
P0145,PrimeChoice Cookies 250g v1,Bakery,Bread,PrimeChoice,2.73,2.11,1684
P0146,QuickBite Cookies 250g v2,Bakery,Cookies,QuickBite,1.9,1.24,738
P0147,QuickBite Cookies 250g v3,Bakery,Cakes,QuickBite,5.41,3.15,1946
P0148,DailyLife Cookies 250g v4,Bakery,Cookies,DailyLife,3.33,2.18,1701
P0149,MaxValue Cookies 250g v5,Bakery,Cakes,MaxValue,5.59,4.16,1420
P0150,DailyLife Cookies 250g v6,Bakery,Bread,DailyLife,3.73,2.19,1066
P0151,UrbanHome Headphones v1,Electronics Accessories,Lighting,UrbanHome,55.81,42.16,709
P0152,DailyLife Headphones v2,Electronics Accessories,Audio,DailyLife,50.51,33.74,1446
P0153,MaxValue Headphones v3,Electronics Accessories,Cables,MaxValue,21.64,16.52,591
P0154,FreshCo Headphones v4,Electronics Accessories,Lighting,FreshCo,56.12,40.68,1975
P0155,MaxValue Headphones v5,Electronics Accessories,Cables,MaxValue,26.94,15.22,1830
P0156,UrbanHome Headphones v6,Electronics Accessories,Cables,UrbanHome,23.24,14.66,408
P0157,QuickBite USB Cable v1,Electronics Accessories,Cables,QuickBite,29.4,17.22,566
P0158,QuickBite USB Cable v2,Electronics Accessories,Audio,QuickBite,15.39,9.95,1500
P0159,UrbanHome USB Cable v3,Electronics Accessories,Power,UrbanHome,59.48,40.69,783
P0160,MaxValue USB Cable v4,Electronics Accessories,Power,MaxValue,32.57,20.43,1304
P0161,MaxValue USB Cable v5,Electronics Accessories,Audio,MaxValue,22,16.13,844
P0162,MaxValue USB Cable v6,Electronics Accessories,Lighting,MaxValue,42.91,25.85,531
P0163,MaxValue Power Bank 10000mAh v1,Electronics Accessories,Audio,MaxValue,36.11,26.05,274
P0164,FreshCo Power Bank 10000mAh v2,Electronics Accessories,Cables,FreshCo,59.99,37.83,269
P0165,MaxValue Power Bank 10000mAh v3,Electronics Accessories,Audio,MaxValue,46.17,36.27,431
P0166,FreshCo Power Bank 10000mAh v4,Electronics Accessories,Lighting,FreshCo,45.88,34.36,764
P0167,PrimeChoice Power Bank 10000mAh v5,Electronics Accessories,Cables,PrimeChoice,54.3,34.29,960
P0168,PrimeChoice Power Bank 10000mAh v6,Electronics Accessories,Cables,PrimeChoice,44.06,32.87,1759
P0169,PrimeChoice Bluetooth Speaker v1,Electronics Accessories,Power,PrimeChoice,41.83,23.75,1762
P0170,MaxValue Bluetooth Speaker v2,Electronics Accessories,Cables,MaxValue,13.34,7.9,799
P0171,MaxValue Bluetooth Speaker v3,Electronics Accessories,Power,MaxValue,17.89,10.04,999
P0172,FreshCo Bluetooth Speaker v4,Electronics Accessories,Lighting,FreshCo,38.48,23.24,998
P0173,PrimeChoice Bluetooth Speaker v5,Electronics Accessories,Cables,PrimeChoice,53.66,36.11,1876
P0174,MaxValue Bluetooth Speaker v6,Electronics Accessories,Lighting,MaxValue,28.98,17.8,216
P0175,QuickBite LED Bulb 9W v1,Electronics Accessories,Cables,QuickBite,54.26,36.23,764
P0176,GoodMart LED Bulb 9W v2,Electronics Accessories,Lighting,GoodMart,46.51,34.66,1246
P0177,MaxValue LED Bulb 9W v3,Electronics Accessories,Lighting,MaxValue,19.4,13.69,1809
P0178,DailyLife LED Bulb 9W v4,Electronics Accessories,Power,DailyLife,45.86,32.2,1710
P0179,UrbanHome LED Bulb 9W v5,Electronics Accessories,Power,UrbanHome,38.56,29.71,1960
P0180,DailyLife LED Bulb 9W v6,Electronics Accessories,Lighting,DailyLife,48.07,27.46,1360
